Customer_ID,Customer_Name,Gender,Age,City,Segment,Store_Location,Product_ID,Product_Name,Category,Price,Quantity,Total,Payment_Method,Day,Date,Customer_Cluster
C177,Neha,1,-0.452440119813904,0,1,2,P635,Beverages_Item_13,0,-1.1936993346995972,0.6910940623038988,-0.7032412673147791,0,1,2025-09-29,2
C148,Isha,0,-0.7775857323283875,4,2,0,P464,Beverages_Item_16,0,-1.5099660009432239,0.6910940623038988,-0.9987963359344665,3,1,2025-09-15,2
C179,Isha,0,-0.7775857323283875,4,0,3,P979,Electronics_Item_3,1,-0.6911867427791685,0.6910940623038988,-0.23363710273016458,3,2,2025-09-27,2
C100,Neha,1,-0.28986731355666223,4,1,1,P391,Beverages_Item_9,0,0.23301473746609583,-0.7265347834476883,-0.33543940414361245,0,0,2025-11-07,1
C167,Riya,0,1.1732879427585134,5,1,0,P397,Grocery_Item_4,2,0.5211688111547333,1.3999084851796924,1.4493848157986111,3,4,2025-10-02,0
C163,Karan,0,0.6042831208581674,4,1,2,P707,Electronics_Item_14,1,-0.07622378063878348,1.3999084851796924,0.7515464593354603,0,3,2025-10-19,0
C112,Arjun,1,-1.2653041511001126,0,1,1,P733,Grocery_Item_18,2,0.04325473771991988,1.3999084851796924,0.8911141306280904,3,4,2025-09-11,0
C134,Vikram,0,-0.04600810417079962,0,0,2,P752,Beverages_Item_3,0,1.6808132540480307,0.6910940623038988,1.9830259119174911,0,2,2025-10-25,0
C127,Riya,1,-1.2653041511001126,3,2,1,P346,Electronics_Item_37,1,0.14164881166238147,-1.4353492063234818,-0.8395249934005239,3,4,2025-09-18,1
C179,Isha,1,-1.5091633604859753,5,0,0,P580,Snacks_Item_7,4,-1.2358682235320808,-0.017720360571894776,-0.8822162810900342,0,0,2025-09-26,2
C103,Vikram,1,-1.7530225698718378,5,2,3,P495,Electronics_Item_47,1,-1.253438593878949,1.3999084851796924,-0.6236055960478077,1,2,2025-09-27,2
C144,Vikram,0,0.84814233024403,3,0,0,P842,Personal Care_Item_30,3,0.7636399219415136,0.6910940623038988,1.1259162129203977,0,5,2025-09-16,0
C178,Aarav,0,-0.6962993291997666,0,0,2,P572,Personal Care_Item_11,3,-0.8387778536928608,-1.4353492063234818,-1.0685801715807817,2,6,2025-09-17,1
C119,Raj,1,1.2545743458871343,5,0,3,P960,Beverages_Item_9,0,-1.4853674824576084,-1.4353492063234818,-1.2196416510975108,1,3,2025-10-19,1
C145,Karan,1,-0.6150129260711457,0,2,1,P254,Personal Care_Item_50,3,-1.527536371290092,-1.4353492063234818,-1.229493486718167,0,3,2025-10-12,1
C103,Isha,1,-0.04600810417079962,5,2,2,P911,Beverages_Item_38,0,0.40169029279602997,-1.4353492063234818,-0.7787720070731436,3,3,2025-10-12,1
C112,Aarav,0,-1.0214449417142502,1,1,3,P419,Snacks_Item_4,4,0.9744843661039314,0.6910940623038988,1.3229529253335226,3,2,2025-10-04,0
C157,Karan,1,-1.5904497636145962,4,2,3,P887,Grocery_Item_29,2,1.1607302917807336,-1.4353492063234818,-0.6014389659013312,0,0,2025-10-17,1
